loan_id,issue_month,fico,annual_inc,dti,revol_util,emp_length_yrs,loan_amnt,term,int_rate,home_ownership,purpose,default_60d
L100036,12,684,"81,911",,10.1%,2 years,24000, 36 months,13.6%,Mortgage,debt_consolidation,0
L100037,4,644,"$41,153.16",27.72,,5 years,21800, 36 months,14.88%,MORTGAGE,major_purchase,1
L100038,21,645,"$43,219.66",23.81,33.2%,n/a,22300, 60 months,14.82%,Rent,credit_card,0
L100039,7,726,27179.69,17.06,47.8%,< 1 year,19700, 36 months,11.62%,RENT,other,0
L100040,8,731,"82,731",13.16,64.9%,5 years,21500, 36 months,8.17%,RENT,credit_card,0
L100041,17,720,"$51,024.91",13.48,86.4%,7 years,5000, 36 months,12.29%,mortgage,medical,0
L100042,5,653,31841.6,12.12,45.1%,10+ years,14100, 60 months,14.88%,RENT,debt_consolidation,0
L100043,15,703,90325.46,12.16,60.8%,< 1 year,15700, 60 months,12.93%,MORTGAGE,credit_card,0
L100044,19,696,"56,924",11.76,,9 years,26600, 36 months,10.71%,OWN,debt_consolidation,0
L100045,1,702,"$40,199.15",24.24,7.6%,10+ years,3200, 36 months,13.27%,Mortgage,debt_consolidation,0
L100046,4,738,"$91,040.20",10.32,58.6%,1 years,3400, 36 months,8.92%,Mortgage,debt_consolidation,0
L100047,13,702,"49,120",29.14,103.0%,7 years,16800, 36 months,12.2%,MORTGAGE,debt_consolidation,0
L100048,4,727,26583.98,24.03,75.7%,10+ years,14900, 36 months,11.3%,Rent,small_business,0
L100049,13,9999,94089.56,23.38,42.1%,10+ years,24600, 60 months,14.28%,MORTGAGE,debt_consolidation,0
L100050,15,706,"$38,282.14",19.9,41.7%,1 years,12300, 36 months,10.59%,Mortgage,debt_consolidation,0
L100051,24,725,"$263,774.62",21.33,37.9%,7 years,8700, 36 months,11.11%,Rent,credit_card,0
L100052,10,610,"$46,626.00",14.62,68.3%,10+ years,19700, 60 months,18.35%,Mortgage,other,1
L100053,20,672,,11.25,53.7%,2 years,10700, 60 months,14.76%,Rent,debt_consolidation,0
L100054,16,664,"$140,078.20",14.44,15.3%,10+ years,9800, 60 months,16.48%,Own,major_purchase,0
L100055,2,655,56648.23,7.51,69.1%,10+ years,10500, 36 months,13.34%,mortgage,debt_consolidation,0
L100056,11,675,"$66,220.35",21.67,66.0%,10+ years,26200, 36 months,13.65%,RENT,small_business,0
L100057,15,772,70522.44,10.01,52.2%,1 years,20100, 60 months,7.04%,rent,major_purchase,0
L100058,5,642,"$29,509.87",23.21,57.5%,5 years,11300, 36 months,14.57%,rent,home_improvement,1
L100059,24,743,19721.4,23.44,31.0%,9 years,26600, 36 months,7.63%,MORTGAGE,credit_card,0
L100060,23,597,"$154,768.72",20.08,89.8%,8 years,18300, 60 months,21.14%,Mortgage,credit_card,0
L100061,14,672,"$26,665.71",13.95,,< 1 year,9600, 36 months,13.94%,mortgage,credit_card,0
L100062,9,699,"$132,168.04",11.23,50.8%,10+ years,15900, 36 months,11.09%,MORTGAGE,debt_consolidation,0
L100063,21,722,"$75,815.68",12.19,52.5%,3 years,22300, 36 months,8.89%,Rent,credit_card,0
L100064,8,729,"$63,604.27",10.61,42.5%,,7700, 36 months,7.97%,rent,debt_consolidation,0
L100065,4,734,"$46,108.86",17.91,53.7%,10+ years,17100, 36 months,9.24%,RENT,debt_consolidation,0
L100066,2,671,"184,851",17.12,27.3%,4 years,4800, 36 months,15.76%,RENT,credit_card,0
L100067,1,665,41212.74,33.25,38.0%,10+ years,25700, 36 months,14.45%,Mortgage,debt_consolidation,0
L100068,20,737,"$41,792.45",32.86,27.8%,5 years,11000, 36 months,10.9%,own,credit_card,0
L100069,7,679,"81,587",30.22,47.5%,6 years,18100, 36 months,13.64%,Rent,small_business,0
L100070,6,620,"$41,626.23",16.41,87.5%,5 years,16400, 36 months,14.38%,RENT,major_purchase,1
L100071,16,628,"$35,145.18",6.68,65.1%,< 1 year,26100, 60 months,14.12%,own,major_purchase,0
L100072,19,639,56632.4,19.48,20.4%,9 years,12400, 36 months,13.35%,Mortgage,credit_card,0
L100073,9,717,82227.31,16.02,45.6%,10 years,14800, 60 months,12.65%,RENT,debt_consolidation,0
L100074,24,9999,"$149,229.47",18.31,51.3%,9 years,22100, 36 months,12.05%,mortgage,home_improvement,0
L100075,3,728,"$165,251.07",21.45,35.4%,8 years,32300, 60 months,10.78%,Own,credit_card,0
L100076,17,667,"$23,817.25",23.63,40.6%,10+ years,22300, 36 months,13.81%,MORTGAGE,debt_consolidation,0
L100077,18,699,"$98,211.80",,84.3%,4 years,19200, 36 months,10.34%,Own,small_business,0
L100078,8,724,"$35,655.09",,9.6%,10+ years,16500, 60 months,11.53%,Own,debt_consolidation,0
L100079,5,673,36555.17,25.66,62.6%,9 years,1900, 36 months,12.54%,RENT,home_improvement,0
L100080,20,715,44533.08,13.41,6.7%,6 years,8200, 60 months,10.74%,Rent,debt_consolidation,0
L100081,18,654,"$43,137.47",25.12,59.4%,4 years,14400, 36 months,11.95%,rent,other,0
L100082,10,670,"$34,164.52",15.99,30.5%,5 years,26700, 36 months,11.53%,Rent,debt_consolidation,0
L100083,24,669,"$18,235.93",18.28,68.1%,1 years,3400, 60 months,13.27%,Rent,home_improvement,0
L100084,18,624,"120,258",16.82,101.1%,9 years,14500, 60 months,16.94%,Own,home_improvement,1
L100085,4,9999,"$91,439.24",12.21,50.7%,7 years,1000, 36 months,10.38%,OWN,credit_card,0
L100086,19,664,"$57,878.13",7.96,85.4%,6 years,13900, 60 months,15.07%,mortgage,debt_consolidation,1
L100087,24,691,"35,975",39.87,69.3%,7 years,5600, 36 months,12.65%,mortgage,small_business,0
L100088,17,716,"$108,226.77",23.03,63.5%,10+ years,13400, 60 months,11.88%,Own,other,0
L100089,7,715,,19.11,25.8%,7 years,1000, 36 months,8.84%,MORTGAGE,small_business,0
L100090,24,727,"43,777",32.5,79.8%,n/a,5600, 36 months,11.63%,rent,debt_consolidation,0
L100091,24,685,25651.71,4.55,62.7%,10 years,20900, 60 months,12.89%,mortgage,credit_card,0
L100092,14,667,"$76,389.10",16.04,26.0%,4 years,12400, 60 months,14.36%,own,credit_card,0
L100093,15,9999,"$49,380.05",13.07,29.0%,10+ years,14300, 36 months,14.68%,OWN,small_business,0
L100094,11,597,66508.86,14.05,38.1%,8 years,15400, 36 months,17.55%,Rent,debt_consolidation,0
L100095,6,610,63502.65,18.25,30.3%,n/a,15300, 36 months,16.22%,mortgage,debt_consolidation,1
L100096,20,617,"$80,208.32",14.5,48.5%,5 years,9400, 36 months,15.57%,Rent,debt_consolidation,0
L100097,23,635,"$65,076.17",3.76,66.4%,< 1 year,25300, 36 months,15.64%,MORTGAGE,debt_consolidation,0
L100098,19,712,"$50,122.70",9.88,46.4%,< 1 year,32900, 36 months,10.76%,MORTGAGE,debt_consolidation,0
L100099,16,640,77038.44,10.64,57.4%,< 1 year,9200, 36 months,13.78%,MORTGAGE,small_business,0
L100100,20,669,93920.74,14.45,20.9%,8 years,18000, 60 months,13.14%,rent,credit_card,0
L100101,18,761,"$126,499.15",10.37,78.1%,4 years,21400, 36 months,9.77%,Rent,credit_card,0
L100102,19,670,33341.27,16.58,74.0%,2 years,19300, 36 months,13.13%,Rent,debt_consolidation,0
L100103,1,731,"$101,816.62",16.82,104.4%,6 years,18500, 60 months,10.0%,Rent,debt_consolidation,0
L100104,7,639,"$26,394.64",0.76,26.0%,3 years,15700, 36 months,17.2%,Mortgage,debt_consolidation,0
L100105,19,679,"96,970",9.42,23.2%,10+ years,15800, 36 months,14.48%,MORTGAGE,debt_consolidation,0
L100106,3,638,"$43,463.23",19.73,19.1%,10+ years,14100, 36 months,14.34%,rent,medical,0
L100107,10,671,"$88,943.36",17.11,82.7%,10+ years,23900, 60 months,17.16%,OWN,debt_consolidation,1
L100108,1,9999,"$123,169.67",3.94,16.9%,8 years,10600, 36 months,7.67%,RENT,debt_consolidation,0
L100109,10,595,"$65,490.19",24.44,41.0%,2 years,5500, 60 months,19.95%,MORTGAGE,credit_card,1
L100110,4,714,58473.45,22.86,12.5%,7 years,9300, 36 months,10.55%,mortgage,credit_card,0
L100111,16,703,"$56,999.66",36.64,53.9%,6 years,23400, 36 months,10.34%,RENT,debt_consolidation,0
L100112,14,657,47320.94,32.11,,8 years,7600, 36 months,14.05%,MORTGAGE,debt_consolidation,0
L100113,20,610,"$105,051.46",11.18,63.6%,n/a,23000, 36 months,17.68%,mortgage,debt_consolidation,0
L100114,1,694,"$56,732.95",16.98,49.6%,8 years,16700, 36 months,10.85%,mortgage,credit_card,1
L100115,6,661,"$20,178.55",18.25,,6 years,13800, 36 months,13.8%,MORTGAGE,debt_consolidation,0
L100116,19,703,93160.81,28.2,64.7%,10+ years,12900, 60 months,14.72%,mortgage,credit_card,1
L100117,19,691,"90,746",15.71,53.5%,2 years,15700, 36 months,10.87%,Mortgage,major_purchase,0
L100118,5,778,"$61,179.02",,53.2%,6 years,20700, 36 months,7.73%,MORTGAGE,debt_consolidation,0
L100119,5,677,40371.92,20.27,30.0%,6 years,11400, 36 months,10.73%,rent,credit_card,0
L100120,5,634,"$33,519.87",11.61,62.0%,3 years,5600, 36 months,17.22%,Rent,debt_consolidation,0
L100121,18,700,"$40,429.83",8.57,,3 years,26400, 36 months,9.78%,Mortgage,home_improvement,0
L100122,14,702,"66,132",26.14,31.1%,3 years,28800, 36 months,11.61%,RENT,debt_consolidation,0
L100123,22,765,"23,819",25.74,18.3%,9 years,22000, 60 months,7.65%,OWN,debt_consolidation,0
L100124,15,736,"$74,028.67",26.75,70.7%,2 years,18300, 36 months,7.14%,RENT,debt_consolidation,0
L100125,13,710,62086.33,0.0,7.1%,,20000, 36 months,14.04%,own,debt_consolidation,0
L100126,5,770,113963.84,16.96,26.9%,1 years,9000, 36 months,7.56%,Rent,major_purchase,0
L100127,18,625,"85,018",28.03,32.9%,6 years,12300, 36 months,13.51%,Rent,credit_card,0
L100128,21,655,"$41,708.96",6.56,30.6%,< 1 year,32900, 36 months,15.02%,Rent,debt_consolidation,1
L100129,5,639,"25,708",22.55,70.3%,4 years,6600, 36 months,15.43%,MORTGAGE,major_purchase,0
L100130,7,669,"$39,711.14",13.57,80.9%,8 years,17200, 36 months,13.91%,rent,debt_consolidation,0
L100131,14,614,"$119,445.78",10.47,77.1%,9 years,12400, 36 months,18.0%,Own,credit_card,0
L100132,1,725,"$69,368.04",12.18,28.6%,10+ years,14300, 36 months,11.35%,Rent,home_improvement,0
L100133,13,678,80714.15,30.64,89.3%,5 years,11200, 36 months,13.24%,Rent,credit_card,1
L100134,23,609,43713.3,25.16,19.9%,9 years,11200, 60 months,19.81%,mortgage,other,0
L100135,13,634,76296.45,17.06,58.1%,7 years,3500, 36 months,16.89%,mortgage,medical,0
L100136,19,707,27998.84,35.61,56.6%,4 years,19000, 60 months,13.82%,Rent,small_business,1
L100137,17,736,"$95,568.77",3.67,89.9%,,11900, 36 months,9.27%,Rent,credit_card,0
L100138,21,800,33600.18,12.88,64.6%,7 years,15800, 60 months,6.15%,Rent,debt_consolidation,0
L100139,18,850,"22,310",30.8,94.2%,n/a,20700, 36 months,5.0%,Mortgage,debt_consolidation,1
L100140,1,713,"$185,565.98",16.56,30.3%,5 years,5800, 60 months,8.7%,RENT,major_purchase,0
L100141,16,636,64051.53,16.34,73.4%,6 years,12000, 36 months,14.41%,Rent,debt_consolidation,0
L100142,2,573,0,17.03,80.5%,10+ years,8300, 60 months,20.36%,Rent,other,1
L100143,17,705,"$23,506.26",,65.6%,10+ years,15000, 36 months,14.34%,own,debt_consolidation,0
L100144,24,9999,"$81,738.48",25.43,31.4%,n/a,15000, 36 months,12.4%,MORTGAGE,home_improvement,0
L100145,6,667,"$93,247.25",11.39,45.2%,7 years,13600, 36 months,13.89%,Mortgage,debt_consolidation,0
L100146,9,656,"$54,195.47",39.51,67.8%,9 years,28400, 60 months,15.44%,RENT,home_improvement,0
L100147,3,682,"93,429",6.68,71.3%,6 years,20300, 36 months,11.68%,Own,debt_consolidation,0
L100148,22,749,"107,501",31.54,28.1%,4 years,3900, 36 months,7.71%,RENT,medical,0
L100149,4,699,77875.08,24.6,23.6%,7 years,16600, 60 months,11.16%,rent,major_purchase,0
L100150,13,681,20269.83,12.54,83.8%,9 years,2800, 36 months,13.8%,RENT,debt_consolidation,0
L100151,9,633,33664.36,20.06,76.7%,7 years,18200, 60 months,14.39%,MORTGAGE,debt_consolidation,0
L100152,23,9999,"139,170",24.76,84.1%,6 years,6800, 60 months,18.03%,Mortgage,credit_card,1
L100153,1,663,"$62,391.99",23.01,97.9%,< 1 year,9900, 36 months,12.85%,MORTGAGE,debt_consolidation,1
L100154,11,687,62532.41,2.79,56.0%,7 years,17200, 36 months,11.93%,RENT,debt_consolidation,0
L100155,4,787,39504.58,21.09,,4 years,4000, 36 months,7.59%,rent,major_purchase,0
L100156,1,697,"$43,532.49",,88.4%,8 years,19900, 36 months,12.99%,RENT,medical,0
L100157,11,744,"$108,697.59",26.39,48.7%,4 years,11600, 60 months,10.42%,Mortgage,debt_consolidation,0
L100158,11,663,"126,657",26.56,,4 years,8300, 36 months,15.69%,Mortgage,major_purchase,0
L100159,21,625,"$89,197.16",7.05,31.5%,,10700, 36 months,15.11%,mortgage,debt_consolidation,0
L100160,22,637,"$78,888.12",2.19,76.4%,n/a,8100, 36 months,16.17%,MORTGAGE,debt_consolidation,0
L100161,6,650,"$81,904.64",15.56,25.9%,< 1 year,8000, 36 months,15.43%,Rent,debt_consolidation,0
L100162,23,807,"$57,804.00",16.07,89.4%,10+ years,15800, 36 months,7.39%,Rent,debt_consolidation,0
L100163,17,645,"32,800",18.06,13.6%,n/a,29300, 60 months,16.12%,rent,debt_consolidation,0
L100164,6,736,"$29,439.75",21.37,53.8%,3 years,20000, 36 months,7.31%,Rent,debt_consolidation,0
L100165,8,640,"$115,541.30",16.76,49.4%,6 years,9600, 36 months,12.56%,Rent,debt_consolidation,0
L100166,6,741,58896.55,18.83,35.9%,10+ years,11100, 36 months,8.67%,RENT,credit_card,0
L100167,18,711,"$76,003.51",11.33,51.8%,7 years,3300, 60 months,13.96%,rent,debt_consolidation,0
L100168,11,681,"$66,528.02",9.78,33.5%,< 1 year,13200, 36 months,12.79%,rent,small_business,0
L100169,5,9999,68237.22,22.83,44.7%,8 years,11600, 36 months,14.8%,MORTGAGE,debt_consolidation,0
L100170,23,654,"$71,144.86",22.16,55.7%,4 years,10000, 36 months,15.18%,rent,debt_consolidation,0
L100171,4,715,"$84,855.16",15.14,30.7%,,19500, 36 months,10.79%,RENT,debt_consolidation,0
L100172,9,665,0,9.58,49.4%,4 years,12900, 36 months,12.72%,mortgage,other,0
L100173,7,623,"108,142",30.42,69.9%,2 years,17600, 60 months,16.09%,RENT,home_improvement,0
L100174,20,620,"$41,404.03",,29.7%,2 years,18700, 60 months,18.29%,Rent,debt_consolidation,0
L100175,21,699,67489.77,27.11,54.3%,9 years,15500, 36 months,10.4%,Rent,debt_consolidation,1
L100176,18,777,"33,140",23.06,,3 years,17000, 36 months,6.19%,mortgage,debt_consolidation,1
L100177,8,699,"55,088",9.28,92.7%,1 years,14100, 36 months,11.81%,Mortgage,debt_consolidation,0
L100178,19,683,"43,049",28.25,62.3%,3 years,21800, 60 months,12.9%,Rent,home_improvement,0
L100179,20,706,"$60,603.47",22.63,18.7%,6 years,20400, 36 months,10.71%,Own,debt_consolidation,0
L100180,10,762,"$86,482.77",9.81,98.0%,8 years,9000, 36 months,5.84%,Rent,credit_card,0
L100181,22,702,"$62,194.79",23.64,61.0%,7 years,25400, 36 months,11.87%,Rent,medical,0
L100182,2,667,159600.54,13.92,,5 years,13100, 60 months,14.99%,Rent,small_business,0
L100183,23,751,"$89,139.67",24.63,113.1%,3 years,15600, 36 months,8.01%,Rent,medical,0
L100184,10,714,"53,411",27.16,48.1%,n/a,18300, 36 months,10.17%,mortgage,small_business,1
L100185,24,774,57351.09,22.16,11.7%,10 years,23300, 36 months,7.97%,Own,debt_consolidation,0
L100186,12,9999,72321.83,11.32,83.0%,8 years,19700, 60 months,13.45%,RENT,debt_consolidation,0
L100187,12,9999,"$85,149.33",22.94,,8 years,17100, 36 months,15.5%,mortgage,medical,0
L100188,9,615,"$32,304.89",22.49,86.1%,7 years,13100, 36 months,17.23%,Mortgage,credit_card,1
L100189,22,781,"82,317",12.39,,8 years,5200, 60 months,10.93%,MORTGAGE,home_improvement,0
L100190,8,785,32726.95,15.27,34.4%,6 years,24900, 36 months,6.73%,Own,debt_consolidation,0
L100191,6,680,"78,427",33.24,22.1%,3 years,21900, 36 months,13.73%,rent,major_purchase,0
L100192,2,9999,"$103,782.07",31.25,32.6%,10+ years,12100, 36 months,15.13%,Rent,credit_card,0
L100193,11,770,69554.5,13.62,34.6%,< 1 year,19500, 36 months,9.11%,MORTGAGE,credit_card,0
L100194,18,629,18715.88,1.83,11.7%,< 1 year,10100, 36 months,14.83%,RENT,debt_consolidation,0
L100195,6,641,"$24,558.73",29.86,32.8%,8 years,23300, 36 months,14.08%,rent,small_business,0
L100196,17,725,"79,329",34.96,,7 years,26000, 60 months,11.09%,rent,debt_consolidation,0
L100197,16,668,17555.44,30.59,44.5%,10+ years,25800, 36 months,15.42%,Rent,home_improvement,0
L100198,15,690,81221.76,15.16,0.0%,7 years,23300, 60 months,14.54%,OWN,major_purchase,0
L100199,17,681,"97,970",23.37,24.2%,6 years,18100, 36 months,13.09%,rent,debt_consolidation,0
L100200,3,709,105618.53,10.6,47.8%,10+ years,25300, 36 months,14.07%,Rent,major_purchase,0
L100201,2,767,53064.44,26.65,34.9%,10+ years,16700, 36 months,6.83%,rent,debt_consolidation,0
L100202,6,695,"$74,552.05",13.34,64.9%,8 years,1000, 60 months,11.66%,OWN,home_improvement,0
L100203,21,9999,"66,466",12.92,37.3%,< 1 year,7600, 36 months,8.19%,mortgage,credit_card,0
L100204,24,577,0,17.32,49.1%,10+ years,6300, 60 months,21.43%,MORTGAGE,other,0
L100205,15,687,86899.66,13.52,61.5%,6 years,16200, 36 months,13.72%,Mortgage,debt_consolidation,1
L100206,9,644,"$119,998.96",23.88,76.1%,7 years,22300, 36 months,14.9%,Rent,small_business,0
L100207,21,623,"$84,516.35",11.17,53.4%,< 1 year,12400, 36 months,15.06%,Mortgage,debt_consolidation,0
L100208,22,642,"46,565",38.7,8.3%,3 years,17800, 60 months,15.5%,Mortgage,major_purchase,0
L100209,18,672,"$86,679.69",22.4,,,12700, 60 months,11.83%,rent,debt_consolidation,0
L100210,8,740,"$114,555.62",15.2,76.8%,4 years,25800, 36 months,8.58%,RENT,debt_consolidation,0
L100211,20,617,107271.55,10.19,26.3%,9 years,15700, 36 months,13.89%,Own,credit_card,0
L100212,15,692,100051.04,15.52,58.4%,< 1 year,4400, 36 months,11.2%,OWN,other,0
L100213,14,663,"$27,012.91",16.33,28.5%,< 1 year,13300, 36 months,12.27%,Mortgage,debt_consolidation,0
L100214,17,672,73065.19,15.83,38.9%,10+ years,13500, 60 months,16.76%,rent,credit_card,0
L100215,22,745,82687.42,14.04,69.6%,8 years,14400, 36 months,8.16%,Mortgage,debt_consolidation,0
L100216,7,9999,100642.49,11.42,,6 years,10300, 36 months,12.1%,Own,debt_consolidation,0
L100217,12,764,77482.86,25.26,60.1%,8 years,21000, 36 months,10.01%,Rent,home_improvement,0
L100218,18,682,130089.2,29.3,62.8%,5 years,26100, 36 months,13.17%,OWN,small_business,0
L100219,9,652,"$24,006.45",11.1,87.0%,2 years,11400, 60 months,16.28%,Rent,major_purchase,0
L100220,4,678,"$79,155.93",17.6,68.6%,< 1 year,9500, 36 months,14.21%,own,medical,0
L100221,7,703,"76,077",3.61,52.6%,6 years,14100, 60 months,8.85%,OWN,major_purchase,0
L100222,4,700,"$94,029.00",13.63,43.6%,6 years,21000, 36 months,11.16%,Rent,small_business,0
L100223,11,630,129451.55,33.75,47.9%,3 years,6700, 60 months,15.53%,Mortgage,credit_card,1
L100224,10,695,"$38,401.79",27.6,43.7%,9 years,25500, 60 months,13.25%,MORTGAGE,home_improvement,1
L100225,17,703,127295.97,22.95,54.1%,9 years,11400, 60 months,10.63%,mortgage,credit_card,0
L100226,1,828,"$89,989.48",8.75,19.1%,< 1 year,10900, 36 months,5.82%,MORTGAGE,debt_consolidation,0
L100227,23,793,"$54,525.16",12.42,52.6%,10+ years,18800, 36 months,5.0%,Rent,credit_card,0
L100228,6,643,"$38,009.93",13.87,83.1%,,1000, 36 months,13.9%,rent,credit_card,0
L100229,9,674,66049.32,26.17,52.7%,4 years,23000, 36 months,14.62%,mortgage,credit_card,0
L100230,6,610,69067.43,28.41,50.6%,8 years,34700, 36 months,18.08%,Mortgage,debt_consolidation,1
L100231,14,658,"$71,011.26",18.07,,4 years,29400, 60 months,13.75%,rent,major_purchase,1
L100232,4,707,"$43,762.18",25.27,16.8%,< 1 year,21400, 36 months,12.02%,mortgage,debt_consolidation,0
L100233,12,756,"$81,199.91",12.19,,4 years,22500, 60 months,6.94%,Mortgage,major_purchase,0
L100234,15,650,"$48,885.21",20.65,43.1%,3 years,14500, 36 months,14.46%,Rent,debt_consolidation,0
L100235,17,654,"$110,005.73",26.48,41.9%,5 years,14800, 36 months,12.2%,own,debt_consolidation,0
L100236,19,572,"140,801",30.85,39.2%,8 years,6200, 60 months,21.11%,RENT,small_business,0
L100237,1,681,"$39,882.81",8.81,53.1%,2 years,10500, 60 months,13.72%,MORTGAGE,debt_consolidation,0
L100238,15,632,61694.19,29.71,80.8%,10+ years,8100, 60 months,17.63%,RENT,debt_consolidation,0
L100239,18,661,97351.35,37.4,67.8%,6 years,20100, 36 months,17.52%,mortgage,credit_card,0
L100240,8,642,"$68,729.91",6.76,93.1%,,13500, 60 months,17.82%,MORTGAGE,debt_consolidation,1
L100241,12,685,"$30,446.85",5.46,,,12500, 36 months,11.66%,Mortgage,credit_card,0
L100242,11,593,"$92,263.05",31.18,57.5%,10+ years,16300, 36 months,16.93%,Own,debt_consolidation,0
L100243,4,609,44228.02,15.17,44.9%,9 years,17600, 60 months,15.44%,mortgage,small_business,0
L100244,23,807,"66,187",16.78,,< 1 year,22800, 36 months,8.01%,Mortgage,home_improvement,0
L100245,3,619,"$36,423.82",28.06,33.9%,5 years,4300, 36 months,15.07%,RENT,debt_consolidation,0
L100246,5,630,,11.49,55.0%,,16100, 36 months,18.58%,MORTGAGE,credit_card,1
L100247,19,791,48507.76,20.76,40.1%,10+ years,23700, 36 months,8.08%,own,debt_consolidation,0
L100248,23,850,"$93,921.41",7.71,,7 years,22500, 60 months,6.56%,Own,credit_card,0
L100249,11,626,53774.75,25.62,82.9%,n/a,31800, 60 months,14.74%,mortgage,small_business,1
L100250,8,670,"$47,069.64",25.58,1.5%,4 years,13900, 60 months,14.03%,rent,credit_card,0
L100251,1,709,"$73,579.22",20.09,41.8%,10+ years,21800, 60 months,14.73%,Rent,debt_consolidation,0
L100252,24,785,34989.84,18.82,94.8%,1 years,1000, 36 months,7.87%,OWN,debt_consolidation,0
L100253,20,636,"$147,136.58",18.61,76.6%,,14700, 36 months,13.94%,rent,debt_consolidation,0
L100254,3,677,-1,17.35,66.1%,10+ years,13000, 36 months,14.11%,own,debt_consolidation,0
L100255,7,733,"$45,110.48",18.13,30.4%,8 years,24200, 60 months,10.03%,RENT,other,0
L100256,21,714,49036.97,25.7,33.3%,3 years,20600, 36 months,10.1%,mortgage,credit_card,0
L100257,13,669,"$60,402.54",4.44,55.3%,9 years,9600, 36 months,14.19%,OWN,debt_consolidation,0
L100258,23,683,"$98,510.05",33.4,48.8%,8 years,11800, 36 months,13.82%,mortgage,credit_card,0
L100259,12,9999,"$38,282.24",20.22,23.0%,< 1 year,7900, 36 months,15.73%,rent,other,1
